114	4392
1	2	1.000000000000
1	3	0.999999999931
1	4	0.999999999998
1	5	0.181269246922
1	6	0.977629228144
1	7	0.451188363906
1	8	0.998886224852
1	9	0.632120558829
1	10	0.329679953964
1	11	0.550671035883
1	12	1.000000000000
1	13	0.998639631962
1	14	0.181269246922
1	15	0.451188363906
1	16	0.909282046711
1	17	0.632120558829
1	19	0.889196841638
1	20	0.181269246922
1	24	0.181269246922
1	25	0.181269246922
1	26	0.999999319202
1	30	0.181269246922
1	31	0.966626730040
1	34	0.181269246922
1	35	0.798103482005
1	37	0.550671035883
1	38	0.950212931632
1	39	0.329679953964
1	40	0.550671035883
1	42	0.451188363906
1	43	0.329679953964
1	44	0.550671035883
1	45	0.550671035883
1	46	0.999775132676
1	47	0.698805788088
1	48	0.999499548567
1	49	0.698805788088
1	52	0.181269246922
1	53	0.181269246922
1	54	0.753403036058
1	57	0.798103482005
1	58	0.753403036058
1	61	0.451188363906
1	62	0.834701111778
1	63	0.753403036058
1	65	0.950212931632
1	66	0.834701111778
1	67	0.181269246922
1	69	0.798103482005
1	70	0.451188363906
1	71	0.451188363906
1	72	0.329679953964
1	73	0.451188363906
1	74	0.981684361111
1	76	0.999088118034
1	77	0.550671035883
1	78	0.999954600070
1	81	0.329679953964
1	82	0.181269246922
1	83	0.181269246922
1	85	0.329679953964
1	87	0.451188363906
1	88	0.698805788088
1	89	0.181269246922
1	90	0.181269246922
1	91	0.329679953964
1	93	0.864664716763
1	95	0.632120558829
1	96	0.181269246922
1	97	0.181269246922
1	98	0.451188363906
1	100	0.451188363906
1	101	0.798103482005
1	102	0.550671035883
1	103	0.451188363906
1	104	0.181269246922
1	107	0.834701111778
1	108	0.181269246922
1	109	0.959237796022
1	110	0.181269246922
1	112	0.925726421786
1	113	0.999499548567
2	1	1.000000000000
2	3	1.000000000000
2	4	0.991770252951
2	6	0.834701111778
2	8	0.451188363906
2	9	0.550671035883
2	10	0.181269246922
2	11	0.181269246922
2	12	0.550671035883
2	13	0.632120558829
2	14	0.329679953964
2	18	0.181269246922
2	19	0.329679953964
2	24	0.181269246922
2	33	0.550671035883
2	40	0.181269246922
2	45	0.451188363906
2	46	0.753403036058
2	48	0.798103482005
2	49	0.329679953964
2	53	0.181269246922
2	57	0.909282046711
2	65	0.972676277553
2	70	0.550671035883
2	71	0.181269246922
2	75	0.329679953964
2	76	0.329679953964
2	77	0.329679953964
2	78	0.181269246922
2	86	0.864664716763
2	101	0.451188363906
2	103	0.550671035883
2	104	0.181269246922
2	109	0.329679953964
3	1	0.999999999931
3	2	1.000000000000
3	4	0.999999949435
3	5	0.329679953964
3	6	0.864664716763
3	7	0.550671035883
3	8	0.698805788088
3	9	0.972676277553
3	10	0.451188363906
3	11	0.550671035883
3	12	0.889196841638
3	13	0.181269246922
3	14	0.451188363906
3	15	0.329679953964
3	16	0.698805788088
3	17	0.329679953964
3	18	0.550671035883
3	19	0.753403036058
3	20	0.632120558829
3	21	0.834701111778
3	22	0.834701111778
3	23	0.181269246922
3	24	0.698805788088
3	25	0.451188363906
3	26	0.550671035883
3	27	0.451188363906
3	28	0.550671035883
3	30	0.834701111778
3	31	0.550671035883
3	32	0.181269246922
3	33	0.451188363906
3	34	0.989948164255
3	35	0.451188363906
3	36	0.181269246922
3	37	0.451188363906
3	38	0.939189937375
3	39	0.329679953964
3	40	0.181269246922
3	41	0.329679953964
3	42	0.834701111778
3	43	0.329679953964
3	44	0.864664716763
3	45	0.981684361111
3	46	0.181269246922
3	47	0.959237796022
3	48	0.798103482005
3	49	0.993262053001
3	52	0.698805788088
3	53	0.329679953964
3	54	0.181269246922
3	56	0.550671035883
3	57	0.834701111778
3	58	0.329679953964
3	59	0.550671035883
3	60	0.451188363906
3	61	0.329679953964
3	62	0.753403036058
3	63	0.550671035883
3	64	0.451188363906
3	65	0.698805788088
3	66	0.181269246922
3	67	0.550671035883
3	68	0.181269246922
3	69	0.181269246922
3	70	0.972676277553
3	71	0.753403036058
3	72	0.864664716763
3	73	0.181269246922
3	74	0.181269246922
3	75	0.451188363906
3	76	0.889196841638
3	78	0.909282046711
3	81	0.181269246922
3	82	0.632120558829
3	84	0.550671035883
3	85	0.181269246922
3	86	0.834701111778
3	87	0.632120558829
3	88	0.698805788088
3	89	0.753403036058
3	90	0.181269246922
3	91	0.181269246922
3	93	0.329679953964
3	94	0.925726421786
3	95	0.698805788088
3	97	0.834701111778
3	98	0.451188363906
3	99	0.798103482005
3	100	0.698805788088
3	103	0.977629228144
3	104	0.181269246922
3	105	0.864664716763
3	107	0.798103482005
3	108	0.959237796022
3	109	0.632120558829
3	110	0.329679953964
3	111	0.329679953964
3	113	0.998886224852
4	1	0.999999999998
4	2	0.991770252951
4	3	0.999999949435
4	6	0.451188363906
4	7	0.798103482005
4	8	0.999999977280
4	9	0.999986325804
4	10	0.451188363906
4	11	0.989948164255
4	12	0.977629228144
4	13	0.864664716763
4	14	0.550671035883
4	15	0.181269246922
4	16	0.798103482005
4	17	0.329679953964
4	18	0.329679953964
4	19	0.451188363906
4	20	0.329679953964
4	21	0.834701111778
4	22	0.451188363906
4	23	0.181269246922
4	24	0.997970569364
4	25	0.864664716763
4	26	0.181269246922
4	27	0.632120558829
4	28	0.451188363906
4	29	0.451188363906
4	30	0.864664716763
4	31	0.698805788088
4	32	0.451188363906
4	33	0.451188363906
4	34	0.632120558829
4	35	0.939189937375
4	36	0.329679953964
4	37	0.753403036058
4	38	0.329679953964
4	39	0.698805788088
4	40	0.451188363906
4	41	0.550671035883
4	42	0.329679953964
4	43	0.181269246922
4	44	0.329679953964
4	45	0.798103482005
4	46	0.632120558829
4	47	1.000000000000
4	48	0.999775132676
4	49	0.329679953964
4	50	0.181269246922
4	51	0.181269246922
4	52	0.181269246922
4	53	0.181269246922
4	54	0.698805788088
4	56	0.181269246922
4	57	0.181269246922
4	62	0.999954600070
4	63	0.329679953964
4	65	0.834701111778
4	66	0.999999999962
4	67	0.329679953964
4	69	0.451188363906
4	71	0.181269246922
4	72	0.329679953964
4	73	0.181269246922
4	75	0.753403036058
4	76	0.181269246922
4	81	0.329679953964
4	82	0.999990833912
4	86	0.181269246922
4	90	0.451188363906
4	91	0.329679953964
4	92	0.181269246922
4	93	0.181269246922
4	97	0.181269246922
4	98	0.329679953964
4	99	0.181269246922
4	104	0.181269246922
4	105	0.181269246922
4	106	0.181269246922
4	107	0.181269246922
5	1	0.181269246922
5	3	0.329679953964
5	10	0.550671035883
5	16	0.181269246922
5	19	0.181269246922
5	23	0.999999832117
5	28	0.999969567517
5	39	0.181269246922
5	40	0.181269246922
5	42	0.181269246922
5	48	0.181269246922
5	54	0.999994969544
5	55	0.181269246922
5	56	0.181269246922
5	71	0.329679953964
5	72	0.999999168471
5	73	0.181269246922
5	78	0.181269246922
5	113	0.550671035883
6	1	0.977629228144
6	2	0.834701111778
6	3	0.864664716763
6	4	0.451188363906
6	7	0.181269246922
6	8	0.329679953964
6	10	0.909282046711
6	11	0.329679953964
6	12	0.997970569364
6	13	0.329679953964
6	14	0.864664716763
6	15	0.950212931632
6	16	0.991770252951
6	17	0.834701111778
6	20	0.329679953964
6	22	0.632120558829
6	23	0.181269246922
6	24	0.950212931632
6	25	0.329679953964
6	29	0.181269246922
6	30	0.909282046711
6	31	0.999944548401
6	33	0.451188363906
6	34	0.181269246922
6	35	0.996972445255
6	37	0.329679953964
6	40	0.329679953964
6	45	0.329679953964
6	46	0.999988804515
6	47	0.181269246922
6	49	0.977629228144
6	53	0.329679953964
6	54	0.925726421786
6	56	0.181269246922
6	57	0.698805788088
6	58	0.632120558829
6	63	0.977629228144
6	64	0.632120558829
6	65	0.698805788088
6	68	0.181269246922
6	69	0.698805788088
6	70	0.834701111778
6	71	0.999999749548
6	73	0.753403036058
6	74	0.999917275934
6	75	0.181269246922
6	76	0.925726421786
6	77	0.451188363906
6	78	0.451188363906
6	81	0.181269246922
6	82	0.181269246922
6	83	0.550671035883
6	85	0.753403036058
6	86	0.753403036058
6	87	0.181269246922
6	88	0.864664716763
6	89	0.632120558829
6	90	0.698805788088
6	91	0.181269246922
6	93	0.909282046711
6	96	0.329679953964
6	100	0.451188363906
6	101	0.451188363906
6	102	0.451188363906
6	106	0.999590265021
6	107	0.550671035883
6	113	0.632120558829
7	1	0.451188363906
7	3	0.550671035883
7	4	0.798103482005
7	6	0.181269246922
7	8	0.329679953964
7	12	0.181269246922
7	13	0.181269246922
7	18	0.181269246922
7	19	0.329679953964
7	30	0.181269246922
7	33	0.181269246922
7	34	0.181269246922
7	38	0.181269246922
7	39	0.181269246922
7	40	0.329679953964
7	41	0.181269246922
7	42	0.451188363906
7	43	0.181269246922
7	45	0.181269246922
7	53	0.329679953964
7	54	0.181269246922
7	55	0.698805788088
7	56	0.181269246922
7	57	0.181269246922
7	58	0.329679953964
7	63	0.329679953964
7	66	0.329679953964
7	70	0.181269246922
7	75	0.181269246922
7	77	0.181269246922
7	85	0.959237796022
7	89	0.181269246922
7	90	0.329679953964
7	98	0.181269246922
7	113	0.451188363906
8	1	0.998886224852
8	2	0.451188363906
8	3	0.698805788088
8	4	0.999999977280
8	6	0.329679953964
8	7	0.329679953964
8	9	0.994483435579
8	10	0.181269246922
8	12	0.993262053001
8	13	0.925726421786
8	14	0.451188363906
8	17	0.550671035883
8	18	0.329679953964
8	19	0.753403036058
8	21	0.181269246922
8	22	0.451188363906
8	24	0.329679953964
8	25	0.698805788088
8	26	0.181269246922
8	27	0.181269246922
8	31	0.550671035883
8	32	0.181269246922
8	35	0.329679953964
8	37	0.959237796022
8	39	0.181269246922
8	41	0.451188363906
8	43	0.329679953964
8	44	0.181269246922
8	45	0.999954600070
8	46	0.972676277553
8	47	0.996972445255
8	48	0.998338442727
8	49	0.181269246922
8	52	0.181269246922
8	54	0.329679953964
8	55	0.181269246922
8	57	0.972676277553
8	60	0.451188363906
8	62	0.966626730040
8	63	0.550671035883
8	64	0.632120558829
8	65	0.959237796022
8	66	0.999664537372
8	69	1.000000000000
8	70	0.181269246922
8	71	0.451188363906
8	72	0.329679953964
8	74	0.181269246922
8	78	0.991770252951
8	82	0.632120558829
8	86	0.181269246922
8	88	0.329679953964
8	89	0.181269246922
8	91	0.181269246922
8	101	0.181269246922
8	102	0.181269246922
8	113	0.181269246922
